month_jalali,series,geography,raw_value,raw_unit,source_id,evidence,quality,transaction_count,price_per_m2_toman,source_url,retrieved_on
140302,cbi_transaction_mean,Tehran,847.5,million_irr,sarmayeh_02,Price row: Ordibehesht 1403=847.5 (million IRR),secondary_report,,84750000.0,https://sarmayesazan.com/blog/%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%B4%D9%87%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AF/,2026-09-12
140303,cbi_transaction_mean,Tehran,859.1,million_irr,sarmayeh_03,Price row: Khordad 1403=859.1 (million IRR),secondary_report,,85910000.0,https://sarmayesazan.com/blog/%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF-1403/,2026-09-12
140304,cbi_transaction_mean,Tehran,874.6,million_irr,sarmayeh_05,Price row: Tir 1403=874.6 (million IRR),secondary_report,,87460000.0,https://sarmayesazan.com/blog/%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D8%AF-1403/,2026-09-12
140305,cbi_transaction_mean,Tehran,885.0,million_irr,sarmayeh_05,Price row: Mordad 1403=885.0 (million IRR),secondary_report,,88500000.0,https://sarmayesazan.com/blog/%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D8%AF-1403/,2026-09-12
140406,kilid_listing_indicator,Tehran,98.7,million_toman,kilid,Displayed trend table: 140406 = 98.7 million toman,platform_indicator_methodology_unverified,,98700000.0,https://kilid.com/house-prices/tehran,2026-09-12
140407,kilid_listing_indicator,Tehran,100.0,million_toman,kilid,Displayed trend table: 140407 = 100 million toman,platform_indicator_methodology_unverified,,100000000.0,https://kilid.com/house-prices/tehran,2026-09-12
140408,kilid_listing_indicator,Tehran,101.9,million_toman,kilid,Displayed trend table: 140408 = 101.9 million toman,platform_indicator_methodology_unverified,,101900000.0,https://kilid.com/house-prices/tehran,2026-09-12
140409,kilid_listing_indicator,Tehran,105.6,million_toman,kilid,Displayed trend table: 140409 = 105.6 million toman,platform_indicator_methodology_unverified,,105600000.0,https://kilid.com/house-prices/tehran,2026-09-12
140410,kilid_listing_indicator,Tehran,110.4,million_toman,kilid,Displayed trend table: 140410 = 110.4 million toman,platform_indicator_methodology_unverified,,110400000.0,https://kilid.com/house-prices/tehran,2026-09-12
140411,kilid_listing_indicator,Tehran,119.7,million_toman,kilid,Displayed trend table: 140411 = 119.7 million toman,platform_indicator_methodology_unverified,,119700000.0,https://kilid.com/house-prices/tehran,2026-09-12
140412,kilid_listing_indicator,Tehran,126.4,million_toman,kilid,Displayed trend table: 140412 = 126.4 million toman,platform_indicator_methodology_unverified,,126400000.0,https://kilid.com/house-prices/tehran,2026-09-12
140501,kilid_listing_indicator,Tehran,135.0,million_toman,kilid,Displayed trend table: 140501 = 135 million toman,platform_indicator_methodology_unverified,,135000000.0,https://kilid.com/house-prices/tehran,2026-09-12
140502,kilid_listing_indicator,Tehran,161.6,million_toman,kilid,Displayed trend table: 140502 = 161.6 million toman,platform_indicator_methodology_unverified,,161600000.0,https://kilid.com/house-prices/tehran,2026-09-12
140503,kilid_listing_indicator,Tehran,185.0,million_toman,kilid,Displayed trend table: 140503 = 185 million toman,platform_indicator_methodology_unverified,,185000000.0,https://kilid.com/house-prices/tehran,2026-09-12
140504,kilid_listing_indicator,Tehran,195.0,million_toman,kilid,Displayed trend table: 140504 = 195 million toman,platform_indicator_methodology_unverified,,195000000.0,https://kilid.com/house-prices/tehran,2026-09-12
140505,kilid_listing_indicator,Tehran,210.0,million_toman,kilid,Displayed trend table: 140505 = 210 million toman,platform_indicator_methodology_unverified,,210000000.0,https://kilid.com/house-prices/tehran,2026-09-12
