source_id,source_row,publication_date_jalali,location_raw,district_reported,area_m2,age_raw,age_years,price_per_m2_million_toman_raw,price_per_m2_toman,source_url,measure,retrieved_on
111526,15,1402-06-05,اوین. درکه,,152,3,3,165,165000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,16,1402-06-05,ستارخان. شادمان,,97,25,25,86.5,86500000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,17,1402-06-05,شهید عراقی. خیابان کشوری,,135,نوساز,,140,140000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,18,1402-06-05,شهر آرا. خیابان 38,,65,27,27,92.3,92300000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,19,1402-06-05,بلوار فردوس غرب. پروانه جنوبی,,80,20,20,83.7,83700000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,20,1402-06-05,دربند,,80,30,30,37.5,37500000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,21,1402-06-05,سعادت آباد. صراف های جنوبی,,90,16,16,161.1,161100000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,22,1402-06-05,مجیدیه جنوبی. استاد حسن بنا جنوبی,,95,2,2,82.1,82100000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,23,1402-06-05,شمس آباد. بلوار بیژن,,77,25,25,83.1,83100000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,24,1402-06-05,نظام آباد. مدنی جنوبی,,64,20,20,54.6,54600000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,25,1402-06-05,شهر آرا. پاتریس,,85,22,22,94.1,94100000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,26,1402-06-05,فرحزاد. ایثارگران شمالی,,126,15,15,119,119000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,27,1402-06-05,جنت آباد شمالی. مبعث,,63,30,30,91.2,91200000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,28,1402-06-05,ستاری. پیامبر مرکزی,,97,10,10,105.1,105100000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,29,1402-06-05,پونک. بلوار همیلا,,100,22,22,95,95000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,30,1402-06-05,مجیدیه جنوبی. اثنی عشری,,57,25,25,73.6,73600000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
