month_jalali,year_jalali,month_of_year,price_per_m2_source_units,geography,currency_status,source_url
139802,1398,2,12672500,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139803,1398,3,13299700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139804,1398,4,13351200,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139805,1398,5,13025900,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139806,1398,6,12667700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139807,1398,7,12715700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139808,1398,8,12463700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139809,1398,9,13525700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139810,1398,10,13882700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139811,1398,11,14397000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139812,1398,12,15658800,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139901,1399,1,15295900,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139902,1399,2,16972700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139903,1399,3,19071900,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139904,1399,4,20986100,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139905,1399,5,23107800,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139906,1399,6,24288100,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139907,1399,7,26720000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139908,1399,8,27193100,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139909,1399,9,26905500,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139910,1399,10,27386000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139911,1399,11,28398100,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139912,1399,12,30274700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
